,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,3.033,0.889,0.0,0.607,0.099,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.04,0.0,0.004,0.1,0.0,0.43971,0.43971,0.43971,0.43971,0.0,0.30032,0.04915,0.0,0.0,0.0,0.0,0.01003,0.00903,0.0,0.01963,0.0,0.00217,0.04939,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,49.617,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,4.323,0.944,1.103,0.655,0.108,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.039,0.0,0.004,0.1,1.103,0.63032,0.63032,0.46786,0.46786,0.16246,0.32459,0.05331,0.0,0.0,0.0,0.0,0.01005,0.00905,0.0,0.01918,0.0,0.00217,0.0495,0.16246,0.0,0.0,9.673,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,53.649,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,3.172,0.93,0.0,0.644,0.105,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.038,0.0,0.004,0.1,0.0,0.45373,0.45373,0.45373,0.45373,0.0,0.31433,0.05133,0.0,0.0,0.0,0.0,0.00989,0.00891,0.0,0.0184,0.0,0.00214,0.04873,0.0,0.0,0.0,9.546,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.259,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,4.332,0.946,1.103,0.659,0.108,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.037,0.0,0.004,0.1,1.103,0.62703,0.62703,0.46456,0.46456,0.16246,0.3234,0.05306,0.0,0.0,0.0,0.0,0.00995,0.00896,0.0,0.01802,0.0,0.00215,0.04902,0.16246,0.0,0.0,9.768,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,51.904,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,3.264,0.957,0.0,0.668,0.11,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.036,0.0,0.004,0.1,0.0,0.45993,0.45993,0.45993,0.45993,0.0,0.3212,0.05293,0.0,0.0,0.0,0.0,0.00974,0.00878,0.0,0.01717,0.0,0.00211,0.04801,0.0,0.0,0.0,9.887,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.904,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,4.331,0.946,1.103,0.662,0.109,0.0,0.0,0.0,0.0,0.02,0.015,0.0,0.036,0.0,0.004,0.1,1.103,0.59769,0.59769,0.43523,0.43523,0.16247,0.30456,0.0502,0.0,0.0,0.0,0.0,0.00932,0.00676,0.0,0.01643,0.0,0.00202,0.04594,0.16247,0.0,0.0,9.761,0.0,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,50.755,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,6.103,1.111,2.313,0.648,0.107,0.0,0.0,0.0,0.0,0.145,0.014,0.0,0.038,0.0,0.01,0.149,2.313,0.85195,0.85195,0.51123,0.51123,0.34072,0.29837,0.04907,0.0,0.0,0.0,0.0,0.06685,0.0064,0.0,0.01735,0.0,0.0047,0.06849,0.34072,1.771,0.633,9.525,0.0,0.0,1.66,0.438,0.0,0.0,70.0,70.0,70.0,51.162,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,3.157,0.925,0.0,0.642,0.105,0.0,0.0,0.0,0.0,0.02,0.013,0.0,0.04,0.0,0.004,0.1,0.0,0.40533,0.40533,0.40533,0.40533,0.0,0.28129,0.04621,0.0,0.0,0.0,0.0,0.00888,0.00591,0.0,0.01738,0.0,0.00192,0.04374,0.0,0.0,0.0,9.42,0.0,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,49.23,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,4.355,0.953,1.103,0.665,0.11,0.0,0.0,0.0,0.0,0.02,0.013,0.0,0.041,0.0,0.004,0.1,1.103,0.45872,0.45872,0.2962,0.2962,0.16251,0.20664,0.03415,0.0,0.0,0.0,0.0,0.0063,0.00407,0.0,0.01264,0.0,0.00136,0.03104,0.16251,0.0,0.0,9.775,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,51.232,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,2.625,0.769,0.0,0.511,0.081,0.0,0.0,0.0,0.0,0.02,0.011,0.0,0.041,0.0,0.004,0.1,0.0,0.21265,0.21265,0.21265,0.21265,0.0,0.14139,0.02253,0.0,0.0,0.0,0.0,0.0056,0.00307,0.0,0.01124,0.0,0.00121,0.0276,0.0,0.0,0.0,7.365,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,49.66,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
11,2007-01-01T11:00:00,2007-01-01T11:00:00,2007-01-01T17:00:00Z,3.597,0.727,1.116,0.479,0.075,0.0,0.0,0.0,0.0,0.02,0.009,0.0,0.04,0.0,0.004,0.1,1.116,0.35613,0.35613,0.19171,0.19171,0.16442,0.12623,0.01989,0.0,0.0,0.0,0.0,0.00534,0.0023,0.0,0.01046,0.0,0.00116,0.02632,0.16442,0.44,0.157,6.907,0.0,0.0,0.413,0.437,0.0,0.0,70.0,70.0,70.0,50.749,0.0,0.0,1.4,0.043,62.0,10.29,23.141,227.288
12,2007-01-01T12:00:00,2007-01-01T12:00:00,2007-01-01T18:00:00Z,3.604,0.733,1.103,0.486,0.077,0.0,0.0,0.0,0.0,0.02,0.006,0.0,0.04,0.0,0.004,0.1,1.103,0.35078,0.35078,0.18826,0.18826,0.16251,0.12489,0.01968,0.0,0.0,0.0,0.0,0.0052,0.00153,0.0,0.01019,0.0,0.00113,0.02564,0.16251,0.0,0.0,7.038,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,50.012,0.0,0.0,3.2,1.499,56.0,10.29,19.654,257.72
13,2007-01-01T13:00:00,2007-01-01T13:00:00,2007-01-01T19:00:00Z,2.479,0.726,0.0,0.48,0.076,0.0,0.0,0.0,0.0,0.02,0.005,0.0,0.042,0.0,0.004,0.1,0.0,0.17937,0.17937,0.17937,0.17937,0.0,0.11852,0.01865,0.0,0.0,0.0,0.0,0.005,0.00118,0.0,0.01029,0.0,0.00108,0.02465,0.0,0.0,0.0,6.945,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,48.235,0.0,0.0,5.0,2.952,51.0,9.171,37.723,218.412
14,2007-01-01T14:00:00,2007-01-01T14:00:00,2007-01-01T20:00:00Z,3.622,0.738,1.103,0.49,0.077,0.0,0.0,0.0,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,1.103,0.34106,0.34106,0.17854,0.17854,0.16252,0.1186,0.0187,0.0,0.0,0.0,0.0,0.0049,0.00106,0.0,0.01007,0.0,0.00106,0.02415,0.16252,0.0,0.0,7.107,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,49.271,0.0,0.0,5.0,2.952,51.0,10.29,47.867,61.815
15,2007-01-01T15:00:00,2007-01-01T15:00:00,2007-01-01T21:00:00Z,2.464,0.722,0.0,0.477,0.075,0.0,0.0,0.0,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,0.0,0.17909,0.17909,0.17909,0.17909,0.0,0.11822,0.01858,0.0,0.0,0.0,0.0,0.00503,0.00108,0.0,0.01033,0.0,0.00109,0.02476,0.0,0.0,0.0,6.894,0.0,0.0,0.0,0.43,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,4.412,47.0,8.053,27.262,0.0
16,2007-01-01T16:00:00,2007-01-01T16:00:00,2007-01-01T22:00:00Z,3.581,0.726,1.103,0.481,0.076,0.0,0.0,0.0,0.0,0.02,0.005,0.0,0.041,0.0,0.004,0.1,1.103,0.37237,0.37237,0.20985,0.20985,0.16252,0.13889,0.02185,0.0,0.0,0.0,0.0,0.00586,0.00138,0.0,0.01175,0.0,0.00127,0.02886,0.16252,0.0,0.0,6.956,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,4.411,47.0,8.053,17.752,32.651
17,2007-01-01T17:00:00,2007-01-01T17:00:00,2007-01-01T23:00:00Z,5.345,1.243,1.103,0.457,0.071,0.0,0.0,0.0,0.0,0.02,0.008,0.0,0.044,0.54,0.004,0.1,1.103,0.69863,0.69863,0.53617,0.53617,0.16246,0.19695,0.0308,0.0,0.0,0.0,0.0,0.00874,0.00325,0.0,0.01882,0.23266,0.00189,0.04305,0.16246,0.0,0.0,6.592,0.0,0.0,0.0,0.43,0.0,0.0,70.0,70.0,70.0,48.524,0.0,0.0,6.8,4.64,52.0,10.29,1.585,22.19
18,2007-01-01T18:00:00,2007-01-01T18:00:00,2007-01-02T00:00:00Z,5.261,1.542,0.0,0.77,0.13,0.0,0.0,0.0,0.0,0.329,0.015,0.03,0.048,0.0,0.013,0.209,0.0,0.68662,0.68662,0.68662,0.68662,0.0,0.34275,0.05769,0.0,0.0,0.0,0.0,0.14633,0.00654,0.01336,0.0212,0.0,0.00561,0.09313,0.0,0.0,0.0,11.618,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,15.282,99.99,0.0,6.8,4.867,57.0,9.171,0.0,0.0
19,2007-01-01T19:00:00,2007-01-01T19:00:00,2007-01-02T01:00:00Z,5.262,1.219,1.103,0.449,0.071,0.0,0.0,0.0,0.0,0.402,0.019,0.0,0.05,0.0,0.015,0.213,1.103,0.72007,0.72007,0.55761,0.55761,0.16246,0.20563,0.0323,0.0,0.0,0.0,0.0,0.18372,0.0089,0.0,0.02269,0.0,0.00685,0.09753,0.16246,0.0,0.0,6.42,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,48.524,0.0,0.0,6.8,5.411,69.0,10.29,0.0,0.0
20,2007-01-01T20:00:00,2007-01-01T20:00:00,2007-01-02T02:00:00Z,4.165,1.221,0.0,0.454,0.071,0.0,0.0,0.0,0.0,0.405,0.026,0.0,0.048,0.0,0.016,0.201,0.0,0.52179,0.52179,0.52179,0.52179,0.0,0.19414,0.03038,0.0,0.0,0.0,0.0,0.17308,0.01103,0.0,0.02035,0.0,0.00681,0.086,0.0,0.0,0.0,6.542,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,48.235,0.0,0.0,5.0,4.295,83.0,9.171,0.0,0.0
21,2007-01-01T21:00:00,2007-01-01T21:00:00,2007-01-02T03:00:00Z,5.016,1.143,1.116,0.449,0.07,0.0,0.0,0.0,0.0,0.335,0.036,0.0,0.047,0.0,0.017,0.189,1.116,0.65002,0.65002,0.48564,0.48564,0.16437,0.19086,0.02981,0.0,0.0,0.0,0.0,0.14238,0.01535,0.0,0.0198,0.0,0.00717,0.08027,0.16437,0.441,0.157,6.473,0.0,0.0,0.413,0.437,0.0,0.0,70.0,70.0,70.0,47.472,0.0,0.0,6.8,5.725,76.0,9.171,0.0,0.0
22,2007-01-01T22:00:00,2007-01-01T22:00:00,2007-01-02T04:00:00Z,5.967,1.071,2.313,0.461,0.072,0.0,0.0,0.0,0.0,0.253,0.042,0.0,0.046,0.0,0.016,0.181,2.313,0.83177,0.83177,0.49099,0.49099,0.34078,0.21145,0.03311,0.0,0.0,0.0,0.0,0.11588,0.01911,0.0,0.02092,0.0,0.00752,0.083,0.34078,1.765,0.63,6.657,0.0,0.0,1.652,0.436,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,5.725,76.0,8.053,0.0,0.0
23,2007-01-01T23:00:00,2007-01-01T23:00:00,2007-01-02T05:00:00Z,8.879,0.797,6.16,0.512,0.081,0.0,0.0,0.0,0.0,0.02,0.036,0.0,0.044,0.0,0.004,0.1,6.16,1.26614,1.26614,0.35876,0.35876,0.90738,0.2303,0.03651,0.0,0.0,0.0,0.0,0.00912,0.01626,0.0,0.01965,0.0,0.00197,0.04495,0.90738,3.967,1.417,7.428,0.0,0.0,3.716,0.437,0.0,0.0,70.0,70.0,70.0,46.588,0.0,0.0,6.8,6.04,83.0,8.053,0.0,0.0
24,2007-01-02T00:00:00,2007-01-02T00:00:00,2007-01-02T06:00:00Z,4.363,0.948,1.129,0.638,0.104,0.0,0.0,0.0,0.0,0.02,0.025,0.015,0.041,0.0,0.004,0.1,1.129,0.62996,0.62996,0.46369,0.46369,0.16627,0.31223,0.05109,0.0,0.0,0.0,0.0,0.00991,0.01223,0.00734,0.01989,0.0,0.00215,0.04884,0.16627,0.88,0.314,9.404,0.0,0.0,0.825,0.438,0.0,0.0,70.0,70.0,70.0,21.944,50.006,0.0,6.8,6.04,83.0,6.935,0.0,0.0
25,2007-01-02T01:00:00,2007-01-02T01:00:00,2007-01-02T07:00:00Z,4.979,0.789,2.286,0.523,0.084,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.04,0.0,0.004,0.1,2.286,0.7272,0.7272,0.3905,0.3905,0.3367,0.25889,0.04137,0.0,0.0,0.0,0.0,0.01003,0.00903,0.0,0.01963,0.0,0.00217,0.04939,0.3367,1.323,0.472,7.548,0.0,0.0,1.242,0.437,0.0,0.0,70.0,70.0,70.0,45.868,0.0,0.0,6.8,6.039,83.0,6.935,0.0,0.0
26,2007-01-02T02:00:00,2007-01-02T02:00:00,2007-01-02T08:00:00Z,3.746,0.775,1.103,0.512,0.081,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.039,0.0,0.004,0.1,1.103,0.54653,0.54653,0.38408,0.38408,0.16246,0.25375,0.04037,0.0,0.0,0.0,0.0,0.01005,0.00905,0.0,0.01918,0.0,0.00217,0.0495,0.16246,0.0,0.0,7.393,0.0,0.0,0.0,0.43,0.0,0.0,70.0,70.0,70.0,45.804,0.0,0.0,8.6,7.782,83.0,8.053,0.0,0.0
27,2007-01-02T03:00:00,2007-01-02T03:00:00,2007-01-02T09:00:00Z,2.623,0.769,0.0,0.508,0.081,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.038,0.0,0.004,0.1,0.0,0.37523,0.37523,0.37523,0.37523,0.0,0.24779,0.03937,0.0,0.0,0.0,0.0,0.00989,0.00891,0.0,0.0184,0.0,0.00214,0.04873,0.0,0.0,0.0,7.334,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,45.072,0.0,0.0,8.6,8.168,91.0,6.935,0.0,0.0
28,2007-01-02T04:00:00,2007-01-02T04:00:00,2007-01-02T10:00:00Z,3.736,0.772,1.103,0.511,0.081,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.037,0.0,0.004,0.1,1.103,0.54137,0.54137,0.37891,0.37891,0.16246,0.25092,0.03989,0.0,0.0,0.0,0.0,0.00995,0.00896,0.0,0.01802,0.0,0.00215,0.04902,0.16246,0.0,0.0,7.387,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,47.015,0.0,0.0,10.4,9.522,83.0,10.29,0.0,0.0
29,2007-01-02T05:00:00,2007-01-02T05:00:00,2007-01-02T11:00:00Z,2.606,0.764,0.0,0.505,0.08,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.036,0.0,0.004,0.1,0.0,0.36717,0.36717,0.36717,0.36717,0.0,0.24281,0.03855,0.0,0.0,0.0,0.0,0.00974,0.00878,0.0,0.01717,0.0,0.00211,0.04801,0.0,0.0,0.0,7.293,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,45.928,0.0,0.0,10.4,9.522,83.0,9.171,0.0,0.0
30,2007-01-02T06:00:00,2007-01-02T06:00:00,2007-01-02T12:00:00Z,3.718,0.767,1.103,0.51,0.081,0.0,0.0,0.0,0.0,0.02,0.015,0.0,0.036,0.0,0.004,0.1,1.103,0.51514,0.51514,0.35267,0.35267,0.16246,0.23487,0.03734,0.0,0.0,0.0,0.0,0.00932,0.00676,0.0,0.01643,0.0,0.00202,0.04594,0.16246,0.0,0.0,7.378,0.0,0.0,0.0,0.432,0.0,0.0,70.0,70.0,70.0,47.015,0.0,0.0,10.4,9.521,83.0,10.29,0.0,0.0
31,2007-01-02T07:00:00,2007-01-02T07:00:00,2007-01-02T13:00:00Z,5.434,0.922,2.289,0.489,0.077,0.0,0.0,0.0,0.0,0.145,0.014,0.0,0.038,0.0,0.01,0.149,2.289,0.7614,0.7614,0.42424,0.42424,0.33717,0.22488,0.03557,0.0,0.0,0.0,0.0,0.06685,0.0064,0.0,0.01735,0.0,0.0047,0.06849,0.33717,1.388,0.496,7.04,0.0,0.0,1.302,0.437,0.0,0.0,70.0,70.0,70.0,46.329,0.0,0.0,10.94,10.043,83.0,9.843,0.0,0.0
32,2007-01-02T08:00:00,2007-01-02T08:00:00,2007-01-02T14:00:00Z,2.557,0.749,0.0,0.494,0.078,0.0,0.0,0.0,0.0,0.02,0.013,0.0,0.04,0.0,0.004,0.1,0.0,0.32827,0.32827,0.32827,0.32827,0.0,0.21622,0.03422,0.0,0.0,0.0,0.0,0.00888,0.00591,0.0,0.01738,0.0,0.00192,0.04374,0.0,0.0,0.0,7.123,0.0,0.0,0.0,0.444,0.0,0.0,70.0,70.0,70.0,45.147,0.0,0.0,12.2,11.315,84.0,9.171,0.0,0.0
33,2007-01-02T09:00:00,2007-01-02T09:00:00,2007-01-02T15:00:00Z,3.698,0.761,1.103,0.503,0.08,0.0,0.0,0.0,0.0,0.02,0.013,0.0,0.041,0.0,0.004,0.1,1.103,0.39888,0.39888,0.23642,0.23642,0.16246,0.15622,0.02478,0.0,0.0,0.0,0.0,0.0063,0.00407,0.0,0.01264,0.0,0.00136,0.03104,0.16246,0.0,0.0,7.259,0.0,0.0,0.0,0.431,0.0,0.0,70.0,70.0,70.0,46.252,0.0,0.0,12.2,11.315,84.0,10.29,0.0,0.0
34,2007-01-02T10:00:00,2007-01-02T10:00:00,2007-01-02T16:00:00Z,2.389,0.7,0.0,0.453,0.071,0.0,0.0,0.0,0.0,0.02,0.011,0.0,0.041,0.0,0.004,0.1,0.0,0.19355,0.19355,0.19355,0.19355,0.0,0.12519,0.01963,0.0,0.0,0.0,0.0,0.0056,0.00307,0.0,0.01124,0.0,0.00121,0.0276,0.0,0.0,0.0,6.501,0.0,0.0,0.0,0.443,0.0,0.0,70.0,70.0,70.0,46.787,0.0,0.0,14.0,12.576,76.0,11.408,28.53,35.187
35,2007-01-02T11:00:00,2007-01-02T11:00:00,2007-01-02T17:00:00Z,5.706,0.642,3.514,0.407,0.063,0.0,0.0,0.0,0.0,0.02,0.009,0.0,0.04,0.0,0.004,0.1,3.514,0.68694,0.68694,0.1694,0.1694,0.51754,0.10721,0.0166,0.0,0.0,0.0,0.0,0.00534,0.0023,0.0,0.01046,0.0,0.00116,0.02632,0.51754,2.206,0.788,5.818,0.0,0.0,2.069,0.437,0.0,0.0,70.0,70.0,70.0,47.534,0.0,0.0,12.2,11.315,84.0,11.408,48.818,156.914
36,2007-01-02T12:00:00,2007-01-02T12:00:00,2007-01-02T18:00:00Z,2.311,0.677,0.0,0.439,0.068,0.0,0.0,0.0,0.0,0.02,0.006,0.0,0.04,0.0,0.004,0.1,0.0,0.17398,0.17398,0.17398,0.17398,0.0,0.11272,0.01757,0.0,0.0,0.0,0.0,0.0052,0.00153,0.0,0.01019,0.0,0.00113,0.02564,0.0,0.0,0.0,6.315,0.0,0.0,0.0,0.435,0.0,0.0,70.0,70.0,70.0,47.534,0.0,0.0,12.2,11.314,84.0,11.408,19.654,0.0
37,2007-01-02T13:00:00,2007-01-02T13:00:00,2007-01-02T19:00:00Z,3.554,0.718,1.103,0.473,0.074,0.0,0.0,0.0,0.0,0.02,0.005,0.0,0.042,0.0,0.004,0.1,1.103,0.33983,0.33983,0.17733,0.17733,0.1625,0.11677,0.01836,0.0,0.0,0.0,0.0,0.005,0.00118,0.0,0.01029,0.0,0.00108,0.02465,0.1625,0.0,0.0,6.828,0.0,0.0,0.0,0.439,0.0,0.0,70.0,70.0,70.0,50.966,0.0,0.0,12.2,11.313,84.0,13.869,28.53,0.0
38,2007-01-02T14:00:00,2007-01-02T14:00:00,2007-01-02T20:00:00Z,2.454,0.719,0.0,0.474,0.075,0.0,0.0,0.0,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,0.0,0.17393,0.17393,0.17393,0.17393,0.0,0.11465,0.01804,0.0,0.0,0.0,0.0,0.0049,0.00106,0.0,0.01007,0.0,0.00106,0.02415,0.0,0.0,0.0,6.836,0.0,0.0,0.0,0.435,0.0,0.0,70.0,70.0,70.0,49.304,0.0,0.0,12.2,11.702,91.0,12.751,18.069,0.0
39,2007-01-02T15:00:00,2007-01-02T15:00:00,2007-01-02T21:00:00Z,3.354,0.66,1.103,0.423,0.066,0.0,0.0,0.0,0.0,0.02,0.004,0.0,0.042,0.0,0.004,0.1,1.103,0.32609,0.32609,0.16359,0.16359,0.1625,0.10497,0.01632,0.0,0.0,0.0,0.0,0.00503,0.00108,0.0,0.01033,0.0,0.00109,0.02476,0.1625,0.0,0.0,6.067,0.0,0.0,0.0,0.44,0.0,0.0,70.0,70.0,70.0,43.566,0.0,0.0,15.8,14.34,77.0,9.171,30.115,1.902
40,2007-01-02T16:00:00,2007-01-02T16:00:00,2007-01-02T22:00:00Z,2.316,0.679,0.0,0.44,0.069,0.0,0.0,0.0,0.0,0.02,0.005,0.0,0.041,0.0,0.004,0.1,0.0,0.19617,0.19617,0.19617,0.19617,0.0,0.12722,0.01984,0.0,0.0,0.0,0.0,0.00586,0.00138,0.0,0.01175,0.0,0.00127,0.02886,0.0,0.0,0.0,6.331,0.0,0.0,0.0,0.434,0.0,0.0,70.0,70.0,70.0,46.035,0.0,0.0,15.8,14.787,84.0,11.408,15.85,0.0
41,2007-01-02T17:00:00,2007-01-02T17:00:00,2007-01-02T23:00:00Z,4.748,0.722,2.285,0.472,0.074,0.0,0.0,0.0,0.0,0.02,0.008,0.0,0.044,0.0,0.004,0.1,2.285,0.64781,0.64781,0.3113,0.3113,0.33651,0.20355,0.032,0.0,0.0,0.0,0.0,0.00874,0.00325,0.0,0.01882,0.0,0.00189,0.04305,0.33651,1.295,0.462,6.813,0.0,0.0,1.216,0.438,0.0,0.0,70.0,70.0,70.0,49.571,0.0,0.0,15.8,14.787,84.0,13.869,1.268,0.0
42,2007-01-02T18:00:00,2007-01-02T18:00:00,2007-01-03T00:00:00Z,6.046,1.444,1.118,0.688,0.114,0.0,0.0,0.0,0.0,0.329,0.015,0.03,0.048,0.0,0.013,0.209,1.118,0.80788,0.80788,0.64315,0.64315,0.16473,0.30626,0.05072,0.0,0.0,0.0,0.0,0.14633,0.00654,0.01336,0.0212,0.0,0.00561,0.09313,0.16473,0.516,0.184,10.206,0.0,0.0,0.485,0.437,0.0,0.0,70.0,70.0,70.0,16.43,99.99,0.0,15.8,14.788,84.0,13.869,0.0,0.0
43,2007-01-02T19:00:00,2007-01-02T19:00:00,2007-01-03T01:00:00Z,5.006,1.144,1.103,0.385,0.06,0.0,0.0,0.0,0.0,0.402,0.019,0.0,0.05,0.0,0.015,0.213,1.103,0.68579,0.68579,0.5233,0.5233,0.16249,0.17633,0.02728,0.0,0.0,0.0,0.0,0.18372,0.0089,0.0,0.02269,0.0,0.00685,0.09753,0.16249,0.0,0.0,5.467,0.0,0.0,0.0,0.438,0.0,0.0,70.0,70.0,70.0,47.86,0.0,0.0,15.8,14.787,84.0,12.751,0.0,0.0
44,2007-01-02T20:00:00,2007-01-02T20:00:00,2007-01-03T02:00:00Z,3.75,1.099,0.0,0.35,0.053,0.0,0.0,0.0,0.0,0.405,0.026,0.0,0.048,0.0,0.016,0.201,0.0,0.46985,0.46985,0.46985,0.46985,0.0,0.14971,0.02286,0.0,0.0,0.0,0.0,0.17308,0.01103,0.0,0.02035,0.0,0.00681,0.086,0.0,0.0,0.0,4.988,0.0,0.0,0.0,0.436,0.0,0.0,70.0,70.0,70.0,43.566,0.0,0.0,15.8,15.295,92.0,9.171,0.0,0.0
