,Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Conditioned Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
1,2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,4.778,1.4,0.609,0.02,0.548,0.009,0.0,0.0,0.0,0.032,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.69276,0.69276,0.69276,0.69276,0.30106,0.00976,0.27095,0.00423,0.0,0.0,0.0,0.01601,0.0111,0.0,0.01963,0.0,0.0,0.0,0.0,0.00217,0.05784,0.0,0.0,0.0,0.0,6.28,1.905,0.0,0.0,0.125,0.0,0.0,70.0,70.0,70.0,44.912,0.0,0.0,-4.0,-4.897,68.0,4.698,0.0,0.0
2,2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,5.49,1.609,0.62,0.018,0.746,0.011,0.0,0.0,0.0,0.032,0.022,0.0,0.039,0.0,0.0,0.0,0.0,0.004,0.117,0.79779,0.79779,0.79779,0.79779,0.30731,0.00874,0.36995,0.00528,0.0,0.0,0.0,0.01605,0.01113,0.0,0.01918,0.0,0.0,0.0,0.0,0.00217,0.05797,0.0,0.0,0.0,0.0,6.862,2.582,0.0,0.0,0.123,0.0,0.0,70.0,70.0,70.0,47.603,0.0,0.0,-5.8,-6.651,67.0,10.29,0.0,0.0
3,2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,5.441,1.594,0.62,0.018,0.732,0.01,0.0,0.0,0.0,0.032,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.004,0.117,0.77827,0.77827,0.77827,0.77827,0.30285,0.00868,0.35726,0.00512,0.0,0.0,0.0,0.0158,0.01095,0.0,0.0184,0.0,0.0,0.0,0.0,0.00214,0.05707,0.0,0.0,0.0,0.0,6.827,2.535,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,46.14,0.0,0.0,-5.8,-6.804,61.0,6.935,0.0,0.0
4,2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,5.6,1.641,0.62,0.017,0.78,0.011,0.0,0.0,0.0,0.032,0.022,0.0,0.037,0.0,0.0,0.0,0.0,0.004,0.117,0.80576,0.80576,0.80576,0.80576,0.30463,0.00852,0.38276,0.00536,0.0,0.0,0.0,0.01589,0.01102,0.0,0.01802,0.0,0.0,0.0,0.0,0.00215,0.0574,0.0,0.0,0.0,0.0,6.989,2.698,0.0,0.0,0.121,0.0,0.0,70.0,70.0,70.0,46.533,0.0,0.0,-5.8,-6.804,61.0,8.053,0.0,0.0
5,2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,5.712,1.674,0.62,0.017,0.814,0.011,0.0,0.0,0.0,0.032,0.022,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,0.8049,0.8049,0.8049,0.8049,0.29802,0.0082,0.39144,0.0054,0.0,0.0,0.0,0.01556,0.01079,0.0,0.01717,0.0,0.0,0.0,0.0,0.00211,0.05622,0.0,0.0,0.0,0.0,7.094,2.816,0.0,0.0,0.12,0.0,0.0,70.0,70.0,70.0,46.533,0.0,0.0,-5.8,-6.649,67.0,8.053,0.0,0.0
6,2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,5.704,1.672,0.619,0.017,0.817,0.011,0.0,0.0,0.0,0.032,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.004,0.117,0.76911,0.76911,0.76911,0.76911,0.28465,0.00782,0.37601,0.00519,0.0,0.0,0.0,0.01489,0.00831,0.0,0.01643,0.0,0.0,0.0,0.0,0.00202,0.0538,0.0,0.0,0.0,0.0,7.081,2.822,0.0,0.0,0.119,0.0,0.0,70.0,70.0,70.0,45.835,0.0,0.0,-5.8,-6.443,75.0,5.816,0.0,0.0
7,2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,7.985,2.34,0.609,0.018,0.681,0.01,0.0,0.0,0.551,0.232,0.017,0.0,0.038,0.0,0.0,0.0,0.0,0.01,0.174,1.07728,1.07728,1.07728,1.07728,0.28013,0.00846,0.31351,0.00456,0.0,0.0,0.25372,0.10677,0.00786,0.0,0.01735,0.0,0.0,0.0,0.0,0.0047,0.08021,0.0,0.0,1.772,0.633,6.736,2.357,0.0,1.66,0.121,0.0,0.0,70.0,70.0,70.0,45.85,0.0,0.0,-4.0,-4.896,68.0,8.053,0.0,0.0
8,2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,5.206,1.526,0.599,0.018,0.688,0.01,0.0,0.0,0.0,0.032,0.017,0.0,0.04,0.0,0.0,0.0,0.0,0.004,0.117,0.66832,0.66832,0.66832,0.66832,0.26248,0.0081,0.30149,0.00429,0.0,0.0,0.0,0.01418,0.00727,0.0,0.01738,0.0,0.0,0.0,0.0,0.00192,0.05122,0.0,0.0,0.0,0.0,6.88,2.384,0.0,0.0,0.118,0.0,0.0,70.0,70.0,70.0,44.441,0.0,0.0,-2.2,-3.355,62.0,5.816,0.0,0.0
9,2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,6.268,1.837,0.599,0.018,0.762,0.01,0.0,0.0,0.237,0.032,0.016,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.57103,0.57103,0.57103,0.57103,0.18626,0.00554,0.23692,0.00325,0.0,0.0,0.07364,0.01006,0.005,0.0,0.01264,0.0,0.0,0.0,0.0,0.00136,0.03634,0.0,0.0,0.0,0.0,7.133,2.632,0.0,0.0,0.122,0.0,0.0,70.0,70.0,70.0,45.661,0.0,0.0,-2.2,-3.355,62.0,9.171,0.0,0.0
10,2007-01-01T10:00:00,2007-01-01T10:00:00,2007-01-01T16:00:00Z,5.027,1.473,0.59,0.019,0.647,0.009,0.0,0.0,0.0,0.032,0.014,0.0,0.041,0.0,0.0,0.0,0.0,0.004,0.117,0.40733,0.40733,0.40733,0.40733,0.16307,0.00526,0.17894,0.00256,0.0,0.0,0.0,0.00895,0.00378,0.0,0.01124,0.0,0.0,0.0,0.0,0.00121,0.03232,0.0,0.0,0.0,0.0,6.84,2.238,0.0,0.0,0.124,0.0,0.0,70.0,70.0,70.0,44.467,0.0,0.0,-0.4,-1.652,62.0,8.053,23.775,183.542
